studentID,firstName,lastName,birthdate,Points
1,Amy,Willis,10/23/1991,18.03265097
2,Donald,Pierce,4/7/1990,79.67155427
3,Adam,Holmes,5/16/1991,10.49538148
4,Patrick,Payne,12/29/1990,33.44928462
5,Chris,Lynch,10/3/1990,33.65461473
6,Clarence,George,4/29/1988,79.65534888
7,James,Lawson,10/17/1989,8.996544603
8,Barbara,Robertson,12/5/1991,60.14128084
9,Louis,Simpson,12/13/1990,58.775231
10,Dennis,Gilbert,12/7/1990,29.94896822
11,Andrew,Thompson,6/25/1988,8.550434079
12,Lillian,Richards,4/29/1990,17.35022625
13,Kenneth,Davis,2/13/1990,44.1735296
14,Scott,Anderson,2/19/1988,32.16093306
15,Donald,Brooks,5/14/1989,30.13729917
16,Jeremy,Hamilton,10/12/1991,6.864933442
17,Kevin,Kelley,12/8/1991,94.01054812
18,Diana,Ramos,3/15/1991,88.14017535
19,Willie,Alexander,2/8/1988,73.51499773
20,Eric,Adams,10/17/1989,40.67124737
21,Jose,White,10/15/1988,22.83514981
22,Susan,Little,5/15/1990,37.73728221
23,Angela,Ray,3/31/1991,36.96672947
24,Raymond,Garcia,12/8/1989,5.904415418
25,Emily,Richardson,11/9/1990,77.85840702
26,Linda,Henry,2/6/1991,67.6488977
27,Catherine,Evans,5/1/1988,73.68116706
28,Eugene,Medina,7/18/1989,25.22859628
29,Andrea,Perkins,3/26/1988,1.413170265
30,Laura,Boyd,9/11/1989,56.19673537
31,Doris,Gonzales,2/24/1991,89.70297273
32,John,Watson,10/21/1988,72.65258633
33,Paul,Meyer,6/14/1988,98.56505615
34,Steve,Arnold,7/19/1991,50.54491633
35,Lori,Ellis,2/9/1991,59.71957406
36,Carlos,Carter,9/14/1990,21.45291073
37,Kimberly,Stevens,11/1/1989,34.82392044
38,Gregory,Reyes,11/25/1990,46.32532977
39,Jose,Rivera,7/5/1991,2.994307935
40,Phillip,Jenkins,8/22/1991,40.01490568
41,Tina,Kelley,8/28/1988,74.86214154
42,Marilyn,Castillo,3/19/1991,16.65468531
43,Julie,Smith,8/10/1989,7.022809717
44,James,Hart,10/10/1990,19.75655154
45,Philip,Gibson,8/27/1988,0.69137461
46,Roy,Olson,5/25/1990,16.24639109
47,Aaron,Hicks,5/25/1990,19.65381498
48,Anthony,Cooper,2/7/1989,69.20482919
49,Karen,Hayes,5/1/1988,43.8539332
50,Gerald,Gutierrez,6/27/1988,76.24266021
51,Scott,Price,10/27/1991,74.74466716
52,Carol,Chavez,7/12/1989,56.22165165
53,Eugene,Simpson,10/6/1990,97.35078862
54,Michael,Grant,9/5/1988,63.9841739
55,Louise,Alexander,2/19/1990,22.8133287
56,Richard,Morrison,5/25/1991,56.67709631
57,Patrick,Garrett,7/18/1989,42.51465755
58,Wanda,Davis,7/27/1990,46.71585179
59,Daniel,Bryant,2/18/1990,41.87427661
60,Donna,Lopez,3/7/1988,39.46605309
61,Kevin,West,1/30/1989,13.89152523
62,Paul,Williamson,5/2/1991,47.31783774
63,Deborah,Ray,9/14/1990,34.40768202
64,Janet,Edwards,9/11/1988,86.76366387
65,Kathleen,Greene,4/15/1990,13.37380974
66,Judy,Green,2/11/1991,8.314688988
67,Adam,Armstrong,1/18/1990,27.77200262
68,Bonnie,Davis,12/29/1990,98.02476472
69,Diana,Armstrong,5/18/1989,20.9028676
70,Betty,Olson,1/1/1989,73.08112181
71,Kevin,Campbell,9/28/1991,52.26715168
72,Samuel,Elliott,11/22/1990,84.09365124
73,Annie,Hernandez,11/15/1989,60.80442348
74,Willie,Evans,9/4/1991,66.67599046
75,Norma,Lynch,12/2/1991,46.26901862
76,Jason,Freeman,6/1/1989,34.68432734
77,Thomas,Lawrence,3/15/1991,90.07721752
78,Daniel,Wallace,3/25/1991,82.18395885
79,Charles,Austin,10/6/1990,72.1732901
80,Brandon,Clark,11/8/1990,99.58528122
81,Tammy,Andrews,10/10/1989,95.6209051
82,Stephen,Knight,9/12/1990,74.85036824
83,Gloria,Hansen,8/23/1988,24.62318946
84,Debra,Wheeler,4/21/1988,88.65707913
85,Deborah,Owens,5/7/1991,49.9379803
86,Charles,Martinez,4/7/1988,83.86648977
87,Anthony,Baker,8/14/1989,68.80202137
88,Matthew,Sims,8/14/1990,78.93254154
89,Robin,Collins,9/9/1991,1.61900611
90,Ann,Powell,2/27/1988,54.36995477
91,Earl,Robertson,1/26/1989,45.39992412
92,Helen,Morrison,5/13/1988,90.40746118
93,David,Dean,9/28/1989,78.97986204
94,Alice,Fox,8/14/1989,27.96155421
95,Donald,Nichols,5/17/1988,71.40694986
96,Matthew,Cunningham,11/5/1991,84.95141498
97,Kelly,Lynch,3/18/1990,4.377004742
98,Ryan,Little,12/23/1988,52.0215767
99,Willie,Taylor,12/6/1989,13.15435367
100,Lisa,Austin,11/17/1990,94.80846371
